hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_24,MX05_gelu08,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,8.0,gelu,0.5245,27124081,fgsm,0.8,502,0.0,0.1,0.0458501006587675,4.879564345546284e-05,0.0001152753348116,0.9989594974102216,-0.2323835600153722,0.4576386393266503,1.5230186410793474,29.999485910476743,7.075448230566781e-05
K10_w12_24,MX05_gelu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,10.0,gelu,0.5287,494208855,fgsm,0.8,526,0.0,0.1,0.0461646345774698,4.8188725737594336e-05,0.0001116502043843,0.9989907402332892,-0.226068545463358,0.4837902187487966,1.08768269110714,29.97903809302768,7.092036699092976e-05
K10_w12_24,MX05_gelu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,12.0,gelu,0.5277,448455949,fgsm,0.8,500,0.0,0.1,0.0470048240414443,5.4842664469055646e-05,0.0001253307926683,0.9988648985356888,-0.2396223668842955,0.5047146226245578,1.568585515114577,30.05314881303317,7.119223071771592e-05
K10_w12_24,MX05_relu08,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,8.0,relu,0.5317,1667396861,fgsm,0.8,652,0.0,0.1,0.0395321505840087,2.6281351515410653e-05,5.154438730098921e-05,0.9995350600850926,-0.2320497080785797,0.4068534014926257,1.3713150321739531,30.001631545602457,7.040643453834831e-05
K10_w12_24,MX05_relu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,10.0,relu,0.5408,112684185,fgsm,0.8,831,0.0,0.1,0.0373369090696329,1.616857494096774e-05,2.757733601936489e-05,0.9997514300740116,-0.2359505386976623,0.3993996054146683,1.3805974167835058,29.998292855621788,7.049878248249553e-05
K10_w12_24,MX05_relu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,12.0,relu,0.5519,1641331142,fgsm,0.8,937,0.0,0.1,0.0357881108194107,1.963454997786089e-05,4.813175475674418e-05,0.9995656534725572,-0.2393984800750809,0.3977871953842815,1.3768280968964968,29.99832713218327,7.044625556207868e-05
K10_w12_24,MX05_relu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,5,16.0,relu,0.5566,285006348,fgsm,0.8,1077,0.0,0.1,0.0340230131378669,3.052582547615221e-05,0.0001066426192615,0.9990379802099724,-0.2429981847415786,0.4044418112296104,1.1902766831863978,29.9488555069366,6.620657630180879e-05
K10_w12_24,MX07_elu08,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,8.0,elu,0.5252,1056994627,fgsm,0.8,576,0.0,0.1,0.0431839283697974,0.0001305893390086,0.0001891530840862,0.9982908068147248,-0.2985650660715105,0.4845762444841019,1.648787109915198,29.89844770893332,1.5248204660149996e-05
K10_w12_24,MX07_elu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,10.0,elu,0.5352,78290922,fgsm,0.8,714,0.0,0.1,0.0392427140793987,4.3623243507856334e-05,0.0001357858180658,0.9987747061907124,-0.238966730589061,0.4330406224296677,1.389198338051964,29.99886462114121,7.059575433409364e-05
K10_w12_24,MX07_elu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,12.0,elu,0.5412,437140078,fgsm,0.8,800,0.0,0.1,0.0371190213274508,2.9628869330708997e-05,8.088803169489099e-05,0.99926914529595,-0.2394318890770578,0.4132521733863709,1.3765135264860004,29.997790920328427,7.068147261142284e-05
