name,K,width,eps0,lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
BP_K10_w04_MX09_elu06,10,4,0.001,cosine,9,6.0,elu,0.5983,2664368626,fgsm,0.8,2890,0.0,0.1,0.0059402581630295,6.571555329000348e-06,0.0002336486426904,0.9978948842673364,-0.2822320330019595,0.1131115344971371,1.608103741507146,29.99148537012829,7.017210711635237e-05
BP_K10_w04_MX09_elu08,10,4,0.001,cosine,9,8.0,elu,0.5683,211017854,fgsm,0.8,2829,0.0,0.1,0.0051296196676167,6.7281080536034215e-06,0.0002771555840073,0.9975030236551208,-0.2760320192367784,0.1089984829157028,1.148495149741252,30.034935460955086,7.009654504027448e-05
BP_K10_w04_MX09_elu10,10,4,0.001,cosine,9,10.0,elu,0.5356,1704222363,fgsm,0.8,2207,0.0,0.1,0.0057356476116902,1.124768574664375e-05,0.0004478239235599,0.9959650109068284,-0.2901179777494501,0.1273402223987826,1.6466497552053865,30.0260442274034,7.015643502934996e-05
BP_K10_w04_MX09_elu12,10,4,0.001,cosine,9,12.0,elu,0.5083,89046073,fgsm,0.8,2164,0.0,0.1,0.0049813994828787,1.4147016386184736e-05,0.0007869866694991,0.99291097531489,-0.2930666160155527,0.1201546543666155,1.6128304389351251,30.01812704424932,7.022412101836553e-05
BP_K10_w04_MX09_elu16,10,4,0.001,cosine,9,16.0,elu,0.4809,45880557,fgsm,0.8,1720,0.0,0.1,0.0050305371524003,2.3787785094039395e-05,0.0013474981286449,0.987850415752744,-0.2854619740215962,0.135525154433156,1.1334143771239136,30.03858710721753,7.016665421977334e-05
BP_K10_w04_MX09_exp,10,4,0.001,cosine,9,0.0,exp,0.6247,115585448,fgsm,0.8,1972,0.0,0.1,0.017765910557292,6.447619271633065e-06,3.5356592565818135e-05,0.999681555133592,-0.2287961955080801,0.2086978914970573,0.7281566600396401,29.50619570957851,6.910176088260265e-05
BP_K10_w04_MX09_gelu01,10,4,0.001,cosine,9,1.0,gelu,0.6877,4216017680,fgsm,0.8,3306,0.0,0.1,0.009990841070412,8.434331975704087e-06,9.208585126876568e-05,0.9991706522238036,-0.2787191310776732,0.1345686294984419,1.388353648948437,30.000055607741224,3.4978434937215146e-05
BP_K10_w04_MX09_gelu02,10,4,0.001,cosine,9,2.0,gelu,0.656,378411820,fgsm,0.8,2899,0.0,0.1,0.0101066896243323,8.979855617655546e-06,8.246338816389934e-05,0.99925708156921,-0.2845605248210188,0.1410446830064201,1.4769083646027068,29.899667745909596,3.497758803666535e-05
BP_K10_w04_MX09_gelu04,10,4,0.001,cosine,9,4.0,gelu,0.5864,440165551,fgsm,0.8,2517,0.0,0.1,0.0066018174368583,5.251159809505813e-06,0.0001194542452015,0.998923842266391,-0.2722647653939141,0.1171186776677087,1.330529668890799,29.97241608001829,7.018617174905115e-05
BP_K10_w04_MX09_gelu06,10,4,0.001,cosine,9,6.0,gelu,0.5396,865277294,fgsm,0.8,2256,0.0,0.1,0.0050871915155693,7.524349826455666e-06,0.0003050720678569,0.9972515579000628,-0.2717429490954231,0.1025687367576516,1.0808799382415128,30.005962405046407,7.018575004906995e-05
BP_K10_w04_MX09_gelu08,10,4,0.001,cosine,9,8.0,gelu,0.4968,7598712109,fgsm,0.8,2049,0.0,0.1,0.0043589905134316,8.93081502949475e-06,0.0004475545512956,0.995966261835318,-0.2831022527050529,0.0971917692745615,1.3210489017851017,30.0064945743626,7.033416987892554e-05
BP_K10_w04_MX09_gelu10,10,4,0.001,cosine,9,10.0,gelu,0.4556,887970035,fgsm,0.8,1816,0.0,0.1,0.0040705001635324,1.1995341881867112e-05,0.000696777968979,0.9937210690767552,-0.2970290992474514,0.1014587440452645,2.0789419855256006,30.548089243526235,6.997347980812288e-05
BP_K10_w04_MX09_gelu12,10,4,0.001,cosine,9,12.0,gelu,0.4226,32859687,fgsm,0.8,1490,0.0,0.1,0.0036137348123862,1.5786501174341886e-05,0.0011748306176087,0.98940427048138,-0.2659536069908645,0.0898790734660305,0.6916561245429088,30.02815994548344,7.034527113683108e-05
BP_K10_w04_MX09_gelu16,10,4,0.001,cosine,9,16.0,gelu,0.3639,9887392987,fgsm,0.8,973,0.0,0.1,0.0037660380966327,1.6989593442217364e-05,0.0008541898637753,0.9922990923036464,-0.2782994948109207,0.0926975543696899,1.0132779956232765,30.020214915243344,7.041839653991591e-05
BP_K10_w04_MX09_relu01,10,4,0.001,cosine,9,1.0,relu,0.691,256682634,fgsm,0.8,3329,0.0,0.1,0.009478222456619,1.1711061057725652e-05,0.0001932254807383,0.9982594448319676,-0.2838081964225283,0.1241725538759104,1.484374108660753,29.870497125140325,3.159393560971111e-05
BP_K10_w04_MX09_relu02,10,4,0.001,cosine,9,2.0,relu,0.6629,399010731,fgsm,0.8,3042,0.0,0.1,0.0096573547271716,7.373347893649025e-06,6.941555335466965e-05,0.9993749603455986,-0.2761296486092965,0.1302383610937195,1.333078060831728,30.04707427591721,3.5804763848601136e-05
BP_K10_w04_MX09_relu04,10,4,0.001,cosine,9,4.0,relu,0.6206,999931998,fgsm,0.8,2883,0.0,0.1,0.006801827282544,4.382888701476564e-06,9.789163423679428e-05,0.9991184655723198,-0.2636891073131204,0.1119901417156028,1.1902026218289214,30.021220474023025,7.010527536358128e-05
BP_K10_w04_MX09_relu06,10,4,0.001,cosine,9,6.0,relu,0.5847,28399831,fgsm,0.8,2814,0.0,0.1,0.0052742465015864,5.3451310464571725e-06,0.0001910581813231,0.9982793295262056,-0.2805823321549801,0.1000811081214788,1.5497411682133588,30.011459308691496,7.019785129733934e-05
BP_K10_w04_MX09_relu08,10,4,0.001,cosine,9,8.0,relu,0.5389,7808980,fgsm,0.8,2715,0.0,0.1,0.0043808582029902,7.936228309662608e-06,0.000477647919781,0.9956978662165684,-0.3049874339993146,0.094960987603647,2.51993902283168,29.873673284209165,7.01391348241292e-05
BP_K10_w04_MX09_relu10,10,4,0.001,cosine,9,10.0,relu,0.5037,52909481,fgsm,0.8,2512,0.0,0.1,0.0040386405636904,8.197046824492217e-06,0.0004974749639383,0.995520124226806,-0.2825884877962014,0.0949762845142217,1.265211212940375,30.15806895636091,6.982739359643964e-05
BP_K10_w04_MX09_relu12,10,4,0.001,cosine,9,12.0,relu,0.4604,2116784981,fgsm,0.8,1806,0.0,0.1,0.0040430562821346,1.1313424624823162e-05,0.0006489530442066,0.9941519966658704,-0.2890054721934427,0.0967835057755155,1.408557427836433,29.956768575745155,7.003434016586805e-05
BP_K10_w04_MX09_relu16,10,4,0.001,cosine,9,16.0,relu,0.4224,232133745,fgsm,0.8,1371,0.0,0.1,0.0036115743212625,1.164674091601932e-05,0.0006669268587795,0.9939921806822554,-0.2851162414024258,0.0850842422387648,1.2296191121140945,29.82295536181997,7.033783618241967e-05
